Experiment,subID,raw_trials,objective_valid_trials,expected_trials,objective_valid_ratio,included
1,026578,240,209,240,0.8708333333333333,True
1,035679,240,1,240,0.0041666666666666,False
1,045991,240,160,240,0.6666666666666666,False
1,064995,240,173,240,0.7208333333333333,False
1,101109,240,0,240,0.0,False
1,109550,240,221,240,0.9208333333333332,True
1,132230,240,12,240,0.05,False
1,158214,240,40,240,0.1666666666666666,False
1,171761,240,0,240,0.0,False
1,199724,240,220,240,0.9166666666666666,True
1,199905,240,12,240,0.05,False
1,213720,240,43,240,0.1791666666666666,False
1,215827,240,168,240,0.7,False
1,228809,240,32,240,0.1333333333333333,False
1,241220,240,198,240,0.825,True
1,243787,240,203,240,0.8458333333333333,True
1,247848,240,70,240,0.2916666666666667,False
1,312070,240,217,240,0.9041666666666668,True
1,328537,240,220,240,0.9166666666666666,True
1,349889,240,220,240,0.9166666666666666,True
1,351076,240,4,240,0.0166666666666666,False
1,355759,240,170,240,0.7083333333333334,False
1,383828,240,165,240,0.6875,False
1,384894,240,228,240,0.95,True
1,402658,240,125,240,0.5208333333333334,False
1,405532,240,3,240,0.0125,False
1,409,240,153,240,0.6375,False
1,421766,240,0,240,0.0,False
1,457570,240,145,240,0.6041666666666666,False
1,459907,240,0,240,0.0,False
1,513989,240,17,240,0.0708333333333333,False
1,573583,240,0,240,0.0,False
1,580953,240,187,240,0.7791666666666667,False
1,614807,240,159,240,0.6625,False
1,615008,240,4,240,0.0166666666666666,False
1,624989,240,177,240,0.7375,False
1,649241,240,189,240,0.7875,False
1,653663,240,27,240,0.1125,False
1,657789,240,138,240,0.575,False
1,658375,240,214,240,0.8916666666666667,True
1,660485,240,1,240,0.0041666666666666,False
1,671778,240,139,240,0.5791666666666667,False
1,681174,240,24,240,0.1,False
1,722448,240,143,240,0.5958333333333333,False
1,730111,240,225,240,0.9375,True
1,738855,240,61,240,0.2541666666666666,False
1,743968,240,238,240,0.9916666666666668,True
1,768696,240,106,240,0.4416666666666666,False
1,781145,241,3,240,0.0125,False
1,784269,240,21,240,0.0875,False
1,785063,240,230,240,0.9583333333333334,True
1,785667,240,196,240,0.8166666666666667,True
1,787955,240,237,240,0.9875,True
1,803870,240,210,240,0.875,True
1,820531,240,237,240,0.9875,True
1,826373,240,16,240,0.0666666666666666,False
1,828098,240,226,240,0.9416666666666668,True
1,85216115,240,28,240,0.1166666666666666,False
1,866424,240,0,240,0.0,False
1,882052,240,219,240,0.9125,True
1,897347,240,238,240,0.9916666666666668,True
1,915915,240,188,240,0.7833333333333333,False
1,919598,240,238,240,0.9916666666666668,True
1,920169,240,1,240,0.0041666666666666,False
1,933331,240,120,240,0.5,False
1,937984,240,0,240,0.0,False
1,963221,240,2,240,0.0083333333333333,False
1,994851,240,223,240,0.9291666666666668,True
1,996804,240,161,240,0.6708333333333333,False
1,czr,240,38,240,0.1583333333333333,False
1,txy,240,174,240,0.725,False
2,002046,240,229,240,0.9541666666666668,True
2,040905,240,106,240,0.4416666666666666,False
2,062573,240,229,240,0.9541666666666668,True
2,073741,240,43,240,0.1791666666666666,False
2,082622,240,236,240,0.9833333333333332,True
2,094062,240,0,240,0.0,False
2,118354,240,214,240,0.8916666666666667,True
2,134707,240,179,240,0.7458333333333333,False
2,169207,240,233,240,0.9708333333333332,True
2,183923,240,221,240,0.9208333333333332,True
2,184189,240,213,240,0.8875,True
2,189058,240,226,240,0.9416666666666668,True
2,194491,240,204,240,0.85,True
2,203316,240,230,240,0.9583333333333334,True
2,220663,211,132,240,0.55,False
2,298043,240,222,240,0.925,True
2,331792,240,0,240,0.0,False
2,372056,240,193,240,0.8041666666666667,True
2,421324,240,0,240,0.0,False
2,469417,240,209,240,0.8708333333333333,True
2,545404,240,0,240,0.0,False
2,551900,240,232,240,0.9666666666666668,True
2,555268,240,215,240,0.8958333333333334,True
2,568932,240,0,240,0.0,False
2,611856,240,238,240,0.9916666666666668,True
2,624708,240,199,240,0.8291666666666667,True
2,629597,240,166,240,0.6916666666666667,False
2,664077,240,0,240,0.0,False
2,6778d884a3d54a5d852df834,240,0,240,0.0,False
2,682439,240,0,240,0.0,False
2,742322,240,223,240,0.9291666666666668,True
2,753780,240,197,240,0.8208333333333333,True
2,815266,240,238,240,0.9916666666666668,True
2,852972,240,178,240,0.7416666666666667,False
2,872969,240,3,240,0.0125,False
2,882211,240,13,240,0.0541666666666666,False
2,885939,240,212,240,0.8833333333333333,True
2,898122,240,205,240,0.8541666666666666,True
2,911143,240,166,240,0.6916666666666667,False
2,946439,240,190,240,0.7916666666666666,False
2,963501,240,134,240,0.5583333333333333,False
2,982774,240,172,240,0.7166666666666667,False
